UserName,SessionId,Disambiguation,Program Viewer,Errors,Implicits,Scenario,Time,Condition,Perceived correctness,Future trust,Easiness,Confidence,,,Errors,BI,BI+CC,BI+PN,,,Disambiguation,Program Viewer,,Errors,,,,,,,,,,Trust,,,,,,,,
user5139,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/7, 
programviewer: False, time: 213s",FALSE,FALSE,1,5,amazonchair,213,BI,7,5,6,7,,T1,bank,"2,6","0,8","2,0",,BI,FALSE,FALSE,,bank,,,amazonchair,,,hydrogens,,,,bank,,,amazonchair,,,hydrogens,,
user3176,"scenario: bank, disambiguation: False, errors: 4, implicits: 2/5, 
programviewer: False, time: 574s",FALSE,FALSE,4,2,bank,574,BI,6,7,7,6,,T2,amazonchair,"2,7","1,3","1,2",,BI+CC,TRUE,FALSE,,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN,,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN
user4082,"scenario: bank, disambiguation: False, errors: 4, implicits: 2/4, 
programviewer: False, time: 159s",FALSE,FALSE,4,2,bank,159,BI,6,6,7,6,,T3,hydrogens,"3,3","1,1","0,0",,BI+PN,FALSE,TRUE,,4,0,1,1,0,0,3,3,0,,7,6,7,5,5,6,2,1,7
user4082,"scenario: amazonchair, disambiguation: False, errors: 0, implicits: 5/6, 
programviewer: True, time: 307s",FALSE,TRUE,0,5,amazonchair,307,BI+PN,5,6,7,5,,,,,,,,,,,,4,0,2,1,4,1,0,0,0,,6,7,3,6,3,6,2,7,3
user4082,"scenario: hydrogens, disambiguation: True, errors: 3, implicits: 4/5, 
programviewer: False, time: 255s",TRUE,FALSE,3,4,hydrogens,255,BI+CC,2,1,5,2,,,Times,BI,BI+CC,BI+PN,,,,,,6,0,4,1,1,0,7,3,0,,6,7,7,5,5,7,1,6,7
user6045,"scenario: bank, disambiguation: True, errors: 0, implicits: 2/4, 
programviewer: False, time: 413s",TRUE,FALSE,0,2,bank,413,BI+CC,7,6,6,7,,,bank,"248,875","342,8","233,3333333",,,,,,5,2,1,0,0,2,,0,,,7,7,6,5,6,5,,6,
user6045,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/6, 
programviewer: False, time: 441s",FALSE,FALSE,1,5,amazonchair,441,BI,7,6,6,7,,,amazonchair,"273,8333333",301,292,,,,,,1,2,,5,,0,,0,,,5,7,,6,,6,,2,
user6045,"scenario: hydrogens, disambiguation: False, errors: 0, implicits: 4/5, 
programviewer: True, time: 637s",FALSE,TRUE,0,4,hydrogens,637,BI+PN,7,7,5,7,,,hydrogens,192,"363,2",354,,,,,,1,,,8,,5,,0,,,6,,,7,,5,,1,
user3629,"scenario: bank, disambiguation: False, errors: 6, implicits: 3/4, 
programviewer: False, time: 776s",FALSE,FALSE,6,3,bank,776,BI,5,6,5,5,,,,,,,,,,,,0,,,,,1,,0,,,5,,,,,5,,4,
user3629,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/6, 
programviewer: True, time: 711s",FALSE,TRUE,1,5,amazonchair,711,BI+PN,6,6,5,6,,,Count,BI,BI+CC,BI+PN,,,,,,4,,,,,1,,3,,,5,,,,,4,,1,
user9820,"scenario: bank, disambiguation: True, errors: 0, implicits: 2/4, 
programviewer: False, time: 267s",TRUE,FALSE,0,2,bank,267,BI+CC,7,7,7,7,,,bank,10,5,4,,,,,,0,,,,,1,,,,,4,,,,,6,,,
user3629,"scenario: hydrogens, disambiguation: True, errors: 0, implicits: 4/5, 
programviewer: False, time: 416s",TRUE,FALSE,0,4,hydrogens,416,BI+CC,7,7,7,7,,,amazonchair,6,4,9,,,,,,1,,,,,,,,,,7,,,,,,,,
user9820,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/6, 
programviewer: False, time: 220s",FALSE,FALSE,1,5,amazonchair,220,BI,7,5,6,7,,,hydrogens,3,8,3,,,,,,,,,,,,,,,,,,,,,,,,
user9820,"scenario: bank, disambiguation: True, errors: 0, implicits: 2/4, 
programviewer: False, time: 214s",TRUE,FALSE,0,2,bank,214,BI+CC,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user9820,"scenario: amazonchair, disambiguation: False, errors: 0, implicits: 5/6, 
programviewer: False, time: 157s",FALSE,FALSE,0,5,amazonchair,157,BI,7,5,6,7,,,Implicits,<2,2,3,4,5,>5,,,,,,,,,,,,,,,,,,,,,
user9820,"scenario: hydrogens, disambiguation: False, errors: 0, implicits: 4/5, 
programviewer: True, time: 354s",FALSE,TRUE,0,4,hydrogens,354,BI+PN,7,3,2,7,,,bank,1,14,4,0,0,0,,,,,,,,,,,,,,,,,,,,,
user9367,"scenario: bank, disambiguation: False, errors: 1, implicits: 2/5, 
programviewer: True, time: 828s",FALSE,TRUE,1,2,bank,828,BI+PN,7,7,7,7,,,amazonchair,1,0,0,1,17,0,,,,,,,,,,,,,,,,,,,,,
user9367,"scenario: amazonchair, disambiguation: True, errors: 0, implicits: 4/8, 
programviewer: False, time: 503s",TRUE,FALSE,0,4,amazonchair,503,BI+CC,7,5,5,7,,,hydrogens,1,0,0,13,0,0,,,,,,,,,,,,,,,,,,,,,
user10726,"scenario: bank, disambiguation: True, errors: 2, implicits: 2/4, 
programviewer: False, time: 563s",TRUE,FALSE,2,2,bank,563,BI+CC,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user10726,"scenario: amazonchair, disambiguation: False, errors: 5, implicits: 5/6, 
programviewer: False, time: 410s",FALSE,FALSE,5,5,amazonchair,410,BI,6,6,5,6,,,Times,bank,amazonchair,hydrogens,,,,,,,,,,,,,,,,,,,,,,,,
user10726,"scenario: hydrogens, disambiguation: False, errors: 0, implicits: 4/5, 
programviewer: True, time: 19298s",FALSE,TRUE,0,4,hydrogens,19298,BI+PN,7,7,7,7,,,BI,249,274,192,,,,,,,,,,,,,,,,,,,,,,,,
user11028,"scenario: bank, disambiguation: False, errors: 5, implicits: 3/5, 
programviewer: False, time: 365s",FALSE,FALSE,5,3,bank,365,BI,7,7,7,7,,,BI+CC,343,301,363,,,,,,,,,,,,,,,,,,,,,,,,
user11028,"scenario: amazonchair, disambiguation: False, errors: 0, implicits: 5/6, 
programviewer: True, time: 296s",FALSE,TRUE,0,5,amazonchair,296,BI+PN,7,7,7,7,,,BI+PN,233,292,354,,,,,,,,,,,,,,,,,,,,,,,,
user11028,"scenario: hydrogens, disambiguation: True, errors: 3, implicits: 4/5, 
programviewer: False, time: 529s",TRUE,FALSE,3,4,hydrogens,529,BI+CC,7,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user11330,"scenario: bank, disambiguation: False, errors: 2, implicits: 2/4, 
programviewer: True, time: 266s",FALSE,TRUE,2,2,bank,266,BI+PN,6,3,6,6,,,,BI,BI+CC,BI+PN,,,,,,,,,,,,,,,,,,,,,,,,
user11330,"scenario: amazonchair, disambiguation: True, errors: 4, implicits: 5/6, 
programviewer: False, time: 206s",TRUE,FALSE,4,5,amazonchair,206,BI+CC,6,3,6,6,,,Averages,"2,7","1,1","1,2",,,,,,,,,,,,,,,,,,,,,,,,
user11330,"scenario: hydrogens, disambiguation: False, errors: 3, implicits: 4/5, 
programviewer: False, time: 185s",FALSE,FALSE,3,4,hydrogens,185,BI,5,2,4,5,,,SD,"2,6","1,4","1,5",,,,,,,,,,,,,,,,,,,,,,,,
user5592,"scenario: bank, disambiguation: True, errors: 2, implicits: 2/4, 
programviewer: False, time: 257s",TRUE,FALSE,2,2,bank,257,BI+CC,7,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user5592,"scenario: amazonchair, disambiguation: False, errors: 8, implicits: 5/6, 
programviewer: False, time: 202s",FALSE,FALSE,8,5,amazonchair,202,BI,7,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user5894,"scenario: bank, disambiguation: False, errors: 1, implicits: 2/4, 
programviewer: False, time: 117s",FALSE,FALSE,1,2,bank,117,BI,6,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user5894,"scenario: amazonchair, disambiguation: False, errors: 2, implicits: 5/6, 
programviewer: True, time: 257s",FALSE,TRUE,2,5,amazonchair,257,BI+PN,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user10575,"scenario: bank, disambiguation: False, errors: 1, implicits: 0/6, 
programviewer: False, time: 365s",FALSE,FALSE,1,0,bank,365,BI,7,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user10575,"scenario: amazonchair, disambiguation: False, errors: 0, implicits: 0/7, 
programviewer: True, time: 464s",FALSE,TRUE,0,0,amazonchair,464,BI+PN,7,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user10575,"scenario: hydrogens, disambiguation: True, errors: 0, implicits: 0/7, 
programviewer: False, time: 51135s",TRUE,FALSE,0,0,hydrogens,51135,BI+CC,6,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user6347,"scenario: bank, disambiguation: False, errors: 0, implicits: 2/4, 
programviewer: False, time: 163s",FALSE,FALSE,0,2,bank,163,BI,7,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user6347,"scenario: amazonchair, disambiguation: False, errors: 5, implicits: 5/6, 
programviewer: True, time: 216s",FALSE,TRUE,5,5,amazonchair,216,BI+PN,7,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user6347,"scenario: hydrogens, disambiguation: True, errors: 0, implicits: 4/5, 
programviewer: False, time: 287s",TRUE,FALSE,0,4,hydrogens,287,BI+CC,7,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user5894,"scenario: bank, disambiguation: False, errors: 4, implicits: 2/4, 
programviewer: False, time: 98s",FALSE,FALSE,4,2,bank,98,BI,6,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user5894,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/6, 
programviewer: True, time: 197s",FALSE,TRUE,1,5,amazonchair,197,BI+PN,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user5894,"scenario: hydrogens, disambiguation: True, errors: 0, implicits: 4/5, 
programviewer: False, time: 329s",TRUE,FALSE,0,4,hydrogens,329,BI+CC,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user8612,"scenario: bank, disambiguation: False, errors: 0, implicits: 2/4, 
programviewer: False, time: 150s",FALSE,FALSE,0,2,bank,150,BI,6,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user8612,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/6, 
programviewer: True, time: 292s",FALSE,TRUE,1,5,amazonchair,292,BI+PN,6,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user8612,"scenario: hydrogens, disambiguation: True, errors: 0, implicits: 4/5, 
programviewer: False, time: 652s",TRUE,FALSE,0,4,hydrogens,652,BI+CC,6,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user9367,"scenario: bank, disambiguation: False, errors: 4, implicits: 2/4, 
programviewer: True, time: 76s",FALSE,TRUE,4,2,bank,76,BI+PN,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user9367,"scenario: amazonchair, disambiguation: True, errors: 1, implicits: 5/6, 
programviewer: False, time: 157s",TRUE,FALSE,1,5,amazonchair,157,BI+CC,7,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user9367,"scenario: hydrogens, disambiguation: False, errors: 0, implicits: 4/5, 
programviewer: False, time: 199s",FALSE,FALSE,0,4,hydrogens,199,BI,5,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user5743,"scenario: bank, disambiguation: False, errors: 1, implicits: 3/4, 
programviewer: True, time: 358s",FALSE,TRUE,1,3,bank,358,BI+PN,7,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user5743,"scenario: amazonchair, disambiguation: True, errors: 0, implicits: 5/6, 
programviewer: False, time: 338s",TRUE,FALSE,0,5,amazonchair,338,BI+CC,7,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user5743,"scenario: hydrogens, disambiguation: False, errors: 7, implicits: 4/5, 
programviewer: False, time: 688s",FALSE,FALSE,7,4,hydrogens,688,BI,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user9065,"scenario: bank, disambiguation: False, errors: 1, implicits: 3/4, 
programviewer: False, time: 641s",FALSE,FALSE,1,3,bank,641,BI,6,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user9065,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/6, 
programviewer: True, time: 307s",FALSE,TRUE,1,5,amazonchair,307,BI+PN,5,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user9065,"scenario: hydrogens, disambiguation: True, errors: 3, implicits: 4/5, 
programviewer: False, time: 1644s",TRUE,FALSE,3,4,hydrogens,1644,BI+CC,7,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
