UserName,Disambiguation,Program Viewer,Errors,Implicits,Scenario,Time,Condition,Perceived correctness,Future trust,Easiness,Confidence,Programming XP,ProgrammingLevel,,,Errors,BI,BI+CC,BI+PN,,,Disambiguation,Program Viewer,,Errors,,,,,,,,,,Trust,,,,,,,,
user5139,FALSE,FALSE,1,5,amazonchair,213,BI,7,5,6,7,Less than 10 years,2,,T1,bank,"2,6","0,8","2,0",,BI,FALSE,FALSE,,bank,,,amazonchair,,,hydrogens,,,,bank,,,amazonchair,,,hydrogens,,
user3176,FALSE,FALSE,4,2,bank,574,BI,6,7,7,6,Less than 5 years,1,,T2,amazonchair,"2,7","1,3","1,2",,BI+CC,TRUE,FALSE,,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN,,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN
user4082,FALSE,FALSE,4,2,bank,159,BI,6,6,7,6,Less than 5 years,1,,T3,hydrogens,"3,3","1,1","0,0",,BI+PN,FALSE,TRUE,,4,0,1,1,0,0,3,3,0,,7,6,7,5,5,6,2,1,7
user4082,FALSE,TRUE,0,5,amazonchair,307,BI+PN,5,6,7,5,Less than 5 years,1,,,,,,,,,,,,4,0,2,1,4,1,0,0,0,,6,7,3,6,3,6,2,7,3
user4082,TRUE,FALSE,3,4,hydrogens,255,BI+CC,2,1,5,2,Less than 5 years,1,,,Times,BI,BI+CC,BI+PN,,,,,,6,0,4,1,1,0,7,3,0,,6,7,7,5,5,7,1,6,7
user6045,TRUE,FALSE,0,2,bank,413,BI+CC,7,6,6,7,Less than 10 years,2,,,bank,"248,875","342,8","233,3333333",,,,,,5,2,1,0,0,2,,0,,,7,7,6,5,6,5,,6,
user6045,FALSE,FALSE,1,5,amazonchair,441,BI,7,6,6,7,Less than 10 years,2,,,amazonchair,"273,8333333",301,292,,,,,,1,2,,5,,0,,0,,,5,7,,6,,6,,2,
user6045,FALSE,TRUE,0,4,hydrogens,637,BI+PN,7,7,5,7,Less than 10 years,2,,,hydrogens,192,"363,2",354,,,,,,1,,,8,,5,,0,,,6,,,7,,5,,1,
user3629,FALSE,FALSE,6,3,bank,776,BI,5,6,5,5,None,0,,,,,,,,,,,,0,,,,,1,,0,,,5,,,,,5,,4,
user3629,FALSE,TRUE,1,5,amazonchair,711,BI+PN,6,6,5,6,None,0,,,Count,BI,BI+CC,BI+PN,,,,,,4,,,,,1,,3,,,5,,,,,4,,1,
