User,Summary,Time,Scenario,Disambiguation,Viewer,Errors
user5139,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/7, programviewer: False, time: 213s",213,amazonchair,FALSE,FALSE,1
user4233,"scenario: addresses, disambiguation: True, errors: 0, implicits: 5/7, programviewer: True, time: 73s",73,addresses,TRUE,TRUE,0
user3478,"scenario: addresses, disambiguation: True, errors: 0, implicits: 0/2, programviewer: True, time: 0s",0,addresses,TRUE,TRUE,0
user3176,"scenario: bank, disambiguation: False, errors: 4, implicits: 2/5, programviewer: False, time: 574s",574,bank,FALSE,FALSE,4
gustavo,"scenario: amazonchair, disambiguation: True, errors: 5, implicits: 5/7, programviewer: False, time: 1755s",1755,amazonchair,TRUE,FALSE,5
gustavo,"scenario: bank, disambiguation: False, errors: 4, implicits: 2/5, programviewer: True, time: 69s",69,bank,FALSE,TRUE,4
gustavo,"scenario: bank, disambiguation: False, errors: 5, implicits: 2/5, programviewer: True, time: 166s",166,bank,FALSE,TRUE,5
mikael,"scenario: addresses, disambiguation: True, errors: 0, implicits: 0/1, programviewer: True, time: 1s",1,addresses,TRUE,TRUE,0
mikael,"scenario: bank, disambiguation: False, errors: 1, implicits: 2/4, programviewer: True, time: 96s",96,bank,FALSE,TRUE,1
mikael,"scenario: amazonchair, disambiguation: True, errors: 0, implicits: 5/6, programviewer: False, time: 133s",133,amazonchair,TRUE,FALSE,0
mikael,"scenario: hydrogens, disambiguation: False, errors: 1, implicits: 4/5, programviewer: False, time: 115s",115,hydrogens,FALSE,FALSE,1
user6649,"scenario: addresses, disambiguation: True, errors: 0, implicits: 3/4, programviewer: True, time: 154s",154,addresses,TRUE,TRUE,0
user6649,"scenario: bank, disambiguation: False, errors: 7, implicits: 3/4, programviewer: True, time: 424s",424,bank,FALSE,TRUE,7
user6649,"scenario: amazonchair, disambiguation: True, errors: 12, implicits: 5/6, programviewer: False, time: 735s",735,amazonchair,TRUE,FALSE,12
user4082,"scenario: addresses, disambiguation: True, errors: 0, implicits: 2/3, programviewer: True, time: 81s",81,addresses,TRUE,TRUE,0
user4082,"scenario: bank, disambiguation: False, errors: 4, implicits: 2/4, programviewer: False, time: 159s",159,bank,FALSE,FALSE,4
user4082,"scenario: amazonchair, disambiguation: False, errors: 0, implicits: 5/6, programviewer: True, time: 307s",307,amazonchair,FALSE,TRUE,0
user4082,"scenario: hydrogens, disambiguation: True, errors: 3, implicits: 4/5, programviewer: False, time: 255s",255,hydrogens,TRUE,FALSE,3
user6045,"scenario: addresses, disambiguation: True, errors: 0, implicits: 1/3, programviewer: True, time: 429s",429,addresses,TRUE,TRUE,0
user6045,"scenario: bank, disambiguation: True, errors: 0, implicits: 2/4, programviewer: False, time: 413s",413,bank,TRUE,FALSE,0
user6045,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/6, programviewer: False, time: 441s",441,amazonchair,FALSE,FALSE,1
user6045,"scenario: hydrogens, disambiguation: False, errors: 0, implicits: 4/5, programviewer: True, time: 637s",637,hydrogens,FALSE,TRUE,0
mikael,"scenario: addresses, disambiguation: True, errors: 0, implicits: 0/1, programviewer: True, time: 2s",2,addresses,TRUE,TRUE,0
user3629,"scenario: bank, disambiguation: False, errors: 6, implicits: 3/4, programviewer: False, time: 776s",776,bank,FALSE,FALSE,6
user3629,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/6, programviewer: True, time: 711s",711,amazonchair,FALSE,TRUE,1
user9820,"scenario: addresses, disambiguation: True, errors: 0, implicits: 5/6, programviewer: True, time: 236s",236,addresses,TRUE,TRUE,0
user9820,"scenario: bank, disambiguation: True, errors: 0, implicits: 2/4, programviewer: False, time: 267s",267,bank,TRUE,FALSE,0
user3629,"scenario: hydrogens, disambiguation: True, errors: 0, implicits: 4/5, programviewer: False, time: 416s",416,hydrogens,TRUE,FALSE,0
user9820,"scenario: amazonchair, disambiguation: False, errors: 1, implicits: 5/6, programviewer: False, time: 220s",220,amazonchair,FALSE,FALSE,1
user9820,"scenario: addresses, disambiguation: True, errors: 0, implicits: 0/1, programviewer: True, time: 0s",0,addresses,TRUE,TRUE,0
user9820,"scenario: bank, disambiguation: True, errors: 0, implicits: 2/4, programviewer: False, time: 214s",214,bank,TRUE,FALSE,0
user9820,"scenario: amazonchair, disambiguation: False, errors: 0, implicits: 5/6, programviewer: False, time: 157s",157,amazonchair,FALSE,FALSE,0
user9820,"scenario: hydrogens, disambiguation: False, errors: 0, implicits: 4/5, programviewer: True, time: 354s",354,hydrogens,FALSE,TRUE,0
user6649,"scenario: hydrogens, disambiguation: False, errors: 3, implicits: 4/5, programviewer: False, time: 465s",465,hydrogens,FALSE,FALSE,3
user7102,"scenario: addresses, disambiguation: True, errors: 0, implicits: 0/1, programviewer: True, time: 57s",57,addresses,TRUE,TRUE,0
user9367,"scenario: addresses, disambiguation: True, errors: 0, implicits: 5/6, programviewer: True, time: 152s",152,addresses,TRUE,TRUE,0
user9367,"scenario: bank, disambiguation: False, errors: 1, implicits: 2/5, programviewer: True, time: 828s",828,bank,FALSE,TRUE,1
user9367,"scenario: amazonchair, disambiguation: True, errors: 0, implicits: 4/8, programviewer: False, time: 503s",503,amazonchair,TRUE,FALSE,0
user10726,"scenario: addresses, disambiguation: True, errors: 0, implicits: 0/1, programviewer: True, time: 4s",4,addresses,TRUE,TRUE,0
user10726,"scenario: bank, disambiguation: True, errors: 2, implicits: 2/4, programviewer: False, time: 563s",563,bank,TRUE,FALSE,2
user10726,"scenario: amazonchair, disambiguation: False, errors: 5, implicits: 5/6, programviewer: False, time: 410s",410,amazonchair,FALSE,FALSE,5
user10726,"scenario: hydrogens, disambiguation: False, errors: 0, implicits: 4/5, programviewer: True, time: 19298s",19298,hydrogens,FALSE,TRUE,0
user11028,"scenario: addresses, disambiguation: True, errors: 0, implicits: 1/2, programviewer: True, time: 106s",106,addresses,TRUE,TRUE,0
user11028,"scenario: bank, disambiguation: False, errors: 5, implicits: 3/5, programviewer: False, time: 365s",365,bank,FALSE,FALSE,5
user11028,"scenario: amazonchair, disambiguation: False, errors: 0, implicits: 5/6, programviewer: True, time: 296s",296,amazonchair,FALSE,TRUE,0
user11028,"scenario: hydrogens, disambiguation: True, errors: 3, implicits: 4/5, programviewer: False, time: 529s",529,hydrogens,TRUE,FALSE,3
user10877,"scenario: addresses, disambiguation: True, errors: 0, implicits: 0/1, programviewer: True, time: 0s",0,addresses,TRUE,TRUE,0
user10877,"scenario: addresses, disambiguation: True, errors: 0, implicits: 0/1, programviewer: True, time: 70s",70,addresses,TRUE,TRUE,0
user11179,"scenario: addresses, disambiguation: True, errors: 0, implicits: 3/4, programviewer: True, time: 97s",97,addresses,TRUE,TRUE,0
user10122,"scenario: addresses, disambiguation: True, errors: 0, implicits: 4/5, programviewer: True, time: 182s",182,addresses,TRUE,TRUE,0
user11330,"scenario: addresses, disambiguation: True, errors: 0, implicits: 2/3, programviewer: True, time: 141s",141,addresses,TRUE,TRUE,0
user11330,"scenario: bank, disambiguation: False, errors: 2, implicits: 2/4, programviewer: True, time: 266s",266,bank,FALSE,TRUE,2
user11330,"scenario: amazonchair, disambiguation: True, errors: 4, implicits: 5/6, programviewer: False, time: 206s",206,amazonchair,TRUE,FALSE,4
user11330,"scenario: hydrogens, disambiguation: False, errors: 3, implicits: 4/5, programviewer: False, time: 185s",185,hydrogens,FALSE,FALSE,3
user5592,"scenario: addresses, disambiguation: True, errors: 0, implicits: 0/1, programviewer: True, time: 130s",130,addresses,TRUE,TRUE,0
user5592,"scenario: bank, disambiguation: True, errors: 2, implicits: 2/4, programviewer: False, time: 257s",257,bank,TRUE,FALSE,2
user5592,"scenario: amazonchair, disambiguation: False, errors: 8, implicits: 5/6, programviewer: False, time: 202s",202,amazonchair,FALSE,FALSE,8
user5894,"scenario: addresses, disambiguation: True, errors: 0, implicits: 2/4, programviewer: True, time: 234s",234,addresses,TRUE,TRUE,0
user5894,"scenario: bank, disambiguation: False, errors: 1, implicits: 2/4, programviewer: False, time: 117s",117,bank,FALSE,FALSE,1
user5894,"scenario: amazonchair, disambiguation: False, errors: 2, implicits: 5/6, programviewer: True, time: 257s",257,amazonchair,FALSE,TRUE,2
