name,success,Constant(suiteName),CountUserInteractions(examples),SumMilliseconds(learningTime),First(timestamp),VersionSpaceVolume(learnedProgramSet),VersionSpaceSize(learnedProgramSet)
mvp-doug.atoms2.E<-TStruct,PASS,EText,2,2336.6347,6/9/2017 10:02,8746,1.42E+12
mvp-doug.atoms2.N1<-TStruct,PASS,EText,1,927.1404,6/9/2017 10:02,7980,1.39E+12
mvp-doug.atoms.E<-TStruct,PASS,EText,2,2327.5774,6/9/2017 10:01,8634,1.34E+12
mvp-doug.atoms.N1<-TStruct,PASS,EText,1,798.2264,6/9/2017 10:01,7868,1.31E+12
mvp-doug.atoms2.N4<-TStruct,PASS,EText,3,2151.6017,6/9/2017 10:02,8026,1.13E+12
mvp-doug.atoms2.N3<-TStruct,PASS,EText,3,2290.4894,6/9/2017 10:02,7513,1.05E+12
mvp-doug.atoms2.N5<-TStruct,PASS,EText,2,1355.771,6/9/2017 10:01,5758,5.38E+11
mvp-doug.atoms.N3<-TStruct,PASS,EText,3,1702.4683,6/9/2017 10:01,5542,2.84E+11
mvp-doug.atoms2.Id<-TStruct,PASS,EText,1,578.3228,6/9/2017 10:02,5649,2.52E+11
louis_log_file2.date_id_name.TheEventId<-TimeGenerated,PASS,EText,1,551.5673,6/9/2017 10:03,4408,1.70E+11
mvp-doug.atoms.Id<-TStruct,PASS,EText,1,526.4149,6/9/2017 10:01,5145,1.69E+11
arp_output.internet_physical_type.Physical<-InternetStruct,PASS,EText,1,608.4703,6/9/2017 10:14,6076,1.59E+11
netlogon.logon.Logon<-root,PASS,EText,3,20173.6691,6/9/2017 8:23,7533,1.42E+11
0000014442.info.DepartureGate<-root,PASS,EText,1,779.4808,6/9/2017 10:40,4727,1.20E+11
0000014442.info.DepartureGate<-Locator,PASS,EText,1,666.1654,6/9/2017 10:39,5307,1.20E+11
0000014442.info.DepartureGate<-Name,PASS,EText,1,714.6904,6/9/2017 10:39,5323,1.20E+11
0000014442.info.DepartureGate<-Company,PASS,EText,1,692.5602,6/9/2017 10:40,4845,1.20E+11
example1.scenario.ReportQueueFileName<-root,PASS,EText,6,147207.8641,6/9/2017 10:06,5218,98083780002
0000021419.info.DepartureGate<-root,PASS,EText,1,782.552,6/9/2017 10:38,4973,84876981000
0000021419.info.DepartureGate<-Locator,PASS,EText,1,678.6335,6/9/2017 10:37,5163,84766500900
0000021419.info.DepartureGate<-Name,PASS,EText,1,670.5123,6/9/2017 10:37,5171,84766500900
0000021419.info.DepartureGate<-Company,PASS,EText,1,629.5504,6/9/2017 10:38,5003,84766500900
louis_log_file2.date_id_name.TheEventId<-root,PASS,EText,1,2803.8892,6/9/2017 10:03,7933,84323892232
0000014442.info.DepartureGate<-From,PASS,EText,1,567.3452,6/9/2017 10:40,4381,76901675850
0000014442.info.DepartureGate<-Flight,PASS,EText,1,529.7887,6/9/2017 10:40,4385,76901675850
mvp-doug.atoms2.N6<-TStruct,PASS,EText,2,1144.2106,6/9/2017 10:01,3833,76327080300
input_text.all.ParamExecutableName<-root,PASS,EText,1,8615.1701,6/9/2017 10:05,4143,75610657662
louis_log_file2.date_id_name.TheStoredProcName<-TimeGenerated,PASS,EText,1,558.7641,6/9/2017 10:03,4084,73636517460
input_text.all.TheProcessName<-ParamExecutableName,PASS,EText,1,1321.0724,6/9/2017 10:04,4537,72000735240
0000009602.info.DepartureTime<-root,PASS,EText,1,640.334,6/9/2017 10:45,4092,69996981840
0000009602.info.DepartureTime<-Locator,PASS,EText,1,516.8086,6/9/2017 10:45,4084,69893947560
0000009602.info.DepartureTime<-Company,PASS,EText,1,524.6348,6/9/2017 10:45,4166,69893947560
louis_log_file2.date_id_name.TheStoredProcName<-TheEventId,PASS,EText,1,551.6005,6/9/2017 10:03,4058,66650584660
0000000121.info.Departing<-Flight,PASS,EText,1,366.0256,6/9/2017 10:55,3886,64223878400
vadump_noMissingProperties.struct.ProtectFlag<-BaseAddressStruct,PASS,EText,1,497.2116,6/9/2017 8:15,4881,57257513280
0000014442.info.DepartureTime<-root,PASS,EText,1,698.1594,6/9/2017 10:40,3712,56943363680
0000014442.info.DepartureTime<-Locator,PASS,EText,1,570.0407,6/9/2017 10:40,4300,56874350640
0000014442.info.DepartureTime<-Name,PASS,EText,1,601.1522,6/9/2017 10:40,4320,56874350640
0000014442.info.DepartureTime<-Company,PASS,EText,1,561.6398,6/9/2017 10:40,3830,56874350640
0000000053.info.Arriving<-Flight,PASS,EText,2,934.6015,6/9/2017 10:57,4431,56372718420
0000014442.info.ArrivalTime<-root,PASS,EText,1,606.8525,6/9/2017 10:39,3711,54967555680
0000014442.info.ArrivalTime<-From,PASS,EText,1,518.8278,6/9/2017 10:39,3797,54899726640
0000014442.info.ArrivalTime<-Flight,PASS,EText,1,481.9781,6/9/2017 10:39,3793,54899726640
0000014442.info.ArrivalTime<-Company,PASS,EText,1,570.3169,6/9/2017 10:39,3707,54899726640
0000014442.info.DepartureGate<-Status,PASS,EText,1,488.5617,6/9/2017 10:40,3605,54615724650
mvp-aektauyi.ibp.User<-FileNameStruct,PASS,EText,2,954.5683,6/9/2017 10:02,3270,54392619008
0000021419.info.DepartureGate<-From,PASS,EText,1,606.3867,6/9/2017 10:38,4587,53892603300
0000021419.info.DepartureGate<-Flight,PASS,EText,1,551.4152,6/9/2017 10:38,4563,53892603300
mvp-doug.atoms2.E<-root,PASS,EText,1,1242.1677,6/9/2017 10:02,5508,52065351510
azure-fabric.bladeID.BladeId<-root,PASS,EText,1,3468.1154,6/9/2017 10:12,5030,51885747969
fabtraces-500.second_third_columns.P2<-P1,PASS,EText,1,1529.1863,6/9/2017 10:06,3313,50157904984
fabtraces-500.second_third_columns.P2<-P1Struct,PASS,EText,1,1139.0441,6/9/2017 10:06,3313,50157904984
vadump.struct.ProtectFlag<-BaseAddressStruct,PASS,EText,1,585.5374,6/9/2017 8:15,4779,50105044416
papers.field2<-field1,PASS,EText,3,3697.7307,6/9/2017 8:20,3639,49239706880
papers.field2<-region0,PASS,EText,3,3563.9164,6/9/2017 8:20,3639,49239706880
mvp-doug.atoms.E<-root,PASS,EText,1,1194.3187,6/9/2017 10:01,5340,48952808230
0000014442.info.ArrivalGate<-root,PASS,EText,1,615.8761,6/9/2017 10:39,3515,47846243640
0000014442.info.ArrivalGate<-From,PASS,EText,1,479.7851,6/9/2017 10:39,3513,47789581320
0000014442.info.ArrivalGate<-Flight,PASS,EText,1,502.1234,6/9/2017 10:39,3621,47789581320
0000014442.info.ArrivalGate<-Company,PASS,EText,1,567.0734,6/9/2017 10:39,3511,47789581320
example1.scenario.ReportQueueFileName<-ReportQueueFileNameStruct,PASS,EText,1,2113.4208,6/9/2017 10:06,5314,47237441580
0000769120.info.ConnectionAirline<-root,PASS,EText,1,675.8547,6/9/2017 10:19,4219,45039848576
0000769120.info.ConnectionAirline<-Time,PASS,EText,1,508.5755,6/9/2017 10:19,4491,44959031616
0000769120.info.ConnectionAirline<-Airline,PASS,EText,1,512.7517,6/9/2017 10:19,4277,44959031616
0000014442.info.DepartureGate<-DepartureTime,PASS,EText,1,485.6889,6/9/2017 10:40,3426,44686373625
0000021419.info.DepartureTime<-root,PASS,EText,1,583.9315,6/9/2017 10:38,3645,44422051680
0000021419.info.DepartureTime<-Locator,PASS,EText,1,516.679,6/9/2017 10:38,3815,44361000240
0000021419.info.DepartureTime<-Name,PASS,EText,1,499.7641,6/9/2017 10:38,3831,44361000240
0000021419.info.DepartureTime<-Company,PASS,EText,1,473.3551,6/9/2017 10:38,3675,44361000240
0000009602.info.DepartureTime<-From,PASS,EText,1,483.2723,6/9/2017 10:45,3564,43455317160
0000009602.info.DepartureTime<-Flight,PASS,EText,1,490.7761,6/9/2017 10:45,3564,43455317160
0000021419.info.To<-root,PASS,EText,1,669.2844,6/9/2017 10:37,3796,42986076672
0000021419.info.To<-Company,PASS,EText,1,555.7174,6/9/2017 10:37,3832,42930366336
0000021419.info.ArrivalTime<-root,PASS,EText,1,538.9265,6/9/2017 10:37,3525,42929104480
0000021419.info.ArrivalTime<-From,PASS,EText,1,484.0592,6/9/2017 10:37,3533,42869198640
0000021419.info.ArrivalTime<-Flight,PASS,EText,1,473.9682,6/9/2017 10:37,3519,42869198640
0000021419.info.ArrivalTime<-Company,PASS,EText,1,500.0395,6/9/2017 10:37,3541,42869198640
mvp-doug.atoms.N4<-TStruct,PASS,EText,3,1195.3253,6/9/2017 10:01,4098,42783326496
0000014442.info.DepartureGate<-ArrivalGate,PASS,EText,1,512.5898,6/9/2017 10:40,4173,42042710250
0000014442.info.DepartureGate<-ArrivalTime,PASS,EText,1,484.9485,6/9/2017 10:40,4173,42042710250
0000014442.info.DepartureGate<-To,PASS,EText,1,528.0153,6/9/2017 10:40,4173,42042710250
0000009602.info.DepartureTime<-Status,PASS,EText,1,431.5931,6/9/2017 10:45,3326,40923432360
0000273856.info.Traveler<-root,PASS,EText,1,2333.0902,6/9/2017 10:34,4653,40662506976
0000000234.info.Traveler<-root,PASS,EText,1,3045.4529,6/9/2017 10:53,4631,40662506976
0000273856.info.Traveler<-Certificate,PASS,EText,1,1068.4767,6/9/2017 10:33,4699,40560323888
0000273856.info.Traveler<-Date,PASS,EText,1,1001.6387,6/9/2017 10:33,4697,40560323888
0000273856.info.Traveler<-CarHeldBy,PASS,EText,1,1088.0053,6/9/2017 10:33,4693,40560323888
0000273856.info.Traveler<-card,PASS,EText,1,994.8239,6/9/2017 10:33,4695,40560323888
0000273856.info.Traveler<-Nonrefundable,PASS,EText,1,1072.1259,6/9/2017 10:33,4749,40560323888
0000273856.info.Traveler<-TotalFare,PASS,EText,1,926.4463,6/9/2017 10:33,4781,40560323888
0000273856.info.Traveler<-TravelerTotal,PASS,EText,1,994.3557,6/9/2017 10:33,4777,40560323888
0000273856.info.Traveler<-Amount,PASS,EText,1,859.7619,6/9/2017 10:33,4777,40560323888
0000273856.info.Traveler<-TicketValue,PASS,EText,1,927.4521,6/9/2017 10:33,4777,40560323888
0000273856.info.Traveler<-Previous,PASS,EText,1,885.8609,6/9/2017 10:33,4821,40560323888
0000273856.info.Traveler<-Ticket2,PASS,EText,1,867.7888,6/9/2017 10:33,4835,40560323888
0000273856.info.Traveler<-Change,PASS,EText,1,843.5921,6/9/2017 10:33,4835,40560323888
0000273856.info.Traveler<-Ticket,PASS,EText,1,878.8995,6/9/2017 10:33,4837,40560323888
0000273856.info.Traveler<-Seats,PASS,EText,1,2068.018,6/9/2017 10:33,4763,40560323888
0000273856.info.Traveler<-Class,PASS,EText,1,2101.3418,6/9/2017 10:33,4781,40560323888
0000273856.info.Traveler<-Arrives,PASS,EText,1,2175.2554,6/9/2017 10:33,4713,40560323888
0000273856.info.Traveler<-Departs,PASS,EText,1,2139.9389,6/9/2017 10:33,4629,40560323888
0000273856.info.Traveler<-Equipment,PASS,EText,1,2132.3766,6/9/2017 10:33,4643,40560323888
0000273856.info.Traveler<-Flight,PASS,EText,1,2228.8502,6/9/2017 10:33,4631,40560323888
0000273856.info.Traveler<-Travelers,PASS,EText,1,2167.3869,6/9/2017 10:33,4639,40560323888
0000273856.info.Traveler<-Confirmation,PASS,EText,1,2308.7615,6/9/2017 10:34,4645,40560323888
0000000234.info.Traveler<-Date,PASS,EText,1,1147.9341,6/9/2017 10:53,4767,40560323888
0000000234.info.Traveler<-CardHeldBy,PASS,EText,1,1085.695,6/9/2017 10:53,4763,40560323888
0000000234.info.Traveler<-Card,PASS,EText,1,1141.4919,6/9/2017 10:53,4771,40560323888
0000000234.info.Traveler<-Nonrefundable,PASS,EText,1,1104.5462,6/9/2017 10:53,4829,40560323888
0000000234.info.Traveler<-TotalFare,PASS,EText,1,1063.2263,6/9/2017 10:53,4861,40560323888
0000000234.info.Traveler<-TravelerTotal,PASS,EText,1,1022.7989,6/9/2017 10:53,4857,40560323888
0000000234.info.Traveler<-AddAmount,PASS,EText,1,1052.4526,6/9/2017 10:53,4857,40560323888
0000000234.info.Traveler<-TicketValue,PASS,EText,1,980.482,6/9/2017 10:53,4857,40560323888
0000000234.info.Traveler<-PreviousTicket,PASS,EText,1,1004.3081,6/9/2017 10:53,4901,40560323888
0000000234.info.Traveler<-Ticket2,PASS,EText,1,979.3944,6/9/2017 10:53,4915,40560323888
0000000234.info.Traveler<-ChangeFee,PASS,EText,1,958.8563,6/9/2017 10:53,4915,40560323888
0000000234.info.Traveler<-Ticket,PASS,EText,1,1031.8016,6/9/2017 10:53,4917,40560323888
0000000234.info.Traveler<-Travelers,PASS,EText,1,2845.5311,6/9/2017 10:53,4625,40560323888
0000000234.info.Traveler<-ConfirmationCode,PASS,EText,1,3166.9141,6/9/2017 10:53,4631,40560323888
0000000053.info.Arriving<-Seats,PASS,EText,2,1682.2515,6/9/2017 10:57,3307,40276543140
vadump_noMissingProperties.struct.TypeFlag<-BaseAddressStruct,PASS,EText,1,534.6583,6/9/2017 8:15,3851,39857166720
0000009602.info.To<-root,PASS,EText,1,636.1815,6/9/2017 10:45,3733,39853102080
0000009602.info.To<-Locator,PASS,EText,1,482.6801,6/9/2017 10:45,3697,39798816640
0000009602.info.To<-Company,PASS,EText,1,483.5077,6/9/2017 10:45,3807,39798816640
mvp-aektauyi.ibp.PendingChange<-FileNameStruct,PASS,EText,3,1214.1712,6/9/2017 10:02,3059,38286472554
mvp-aektauyi.ibp.FileName<-FileNameStruct,PASS,EText,2,638.2535,6/9/2017 10:02,2849,38058498116
hadoop.field5<-root,PASS,EText,1,2723.7396,6/9/2017 10:05,4002,37841875560
